,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
11,231,20352255000120,DESALIEL VIEIRA DA SILVA ME,VIEIRA & SOUSA,25577,Rua Expedicionário Francisco Vitoriano,50,50       ,884,COHAB,BAIXADO,2014-05-30T00:00:00,2016-01-01T00:00:00,26,OUTRAS ATIVIDADES VAREJISTAS,4759899,COMÉRCIO VAREJISTA DE OUTROS ARTIGOS DE USO DOMÉSTICO NÃO ESPECIF ANTERIORMENTE,N,N,N,N,-8.135535,-34.951595
12,232,20352255000120,DESALIEL VIEIRA DA SILVA ME,VIEIRA & SOUSA,25577,Rua Expedicionário Francisco Vitoriano,50,50       ,884,COHAB,BAIXADO,2014-05-30T00:00:00,2016-01-01T00:00:00,26,OUTRAS ATIVIDADES VAREJISTAS,4789005,COMÉRCIO VAREJISTA DE PRODUTOS SANEANTES DOMISSANITÁRIOS,N,S,N,S,-8.135535,-34.951595
13,233,20352255000120,DESALIEL VIEIRA DA SILVA ME,VIEIRA & SOUSA,25577,Rua Expedicionário Francisco Vitoriano,50,50       ,884,COHAB,BAIXADO,2014-05-30T00:00:00,2016-01-01T00:00:00,26,OUTRAS ATIVIDADES VAREJISTAS,4789007,COMÉRCIO VAREJISTA DE EQUIPAMENTOS PARA ESCRITÓRIO,N,N,N,N,-8.135535,-34.951595
14,234,20352255000120,DESALIEL VIEIRA DA SILVA ME,VIEIRA & SOUSA,25577,Rua Expedicionário Francisco Vitoriano,50,50       ,884,COHAB,BAIXADO,2014-05-30T00:00:00,2016-01-01T00:00:00,26,OUTRAS ATIVIDADES VAREJISTAS,4757100,"COM VAREJ ESP DE PEÇAS E ACES P/ APAR ELETROELET P/ USO DOMÉST, EXC INF E COMUNIC",N,N,N,N,-8.135535,-34.951595
15,254,07440057000231,INOV TEC COMERCIO E SERVICOS ELETRONICOS LTDA ME,INOV TEC,124931,Rua Oscar Jucá Rêgo Lima,,15       ,400,PASSARINHO,BAIXADO,2014-07-07T00:00:00,2017-07-01T00:00:00,14,CONSERVAÇÃO E LIMPEZA,9521500,REPARAÇÃO E MANUTENÇÃO DE EQUIP ELETROELETRÔN DE USO PESSOAL E DOMÉSTICO,S,N,S,N,-7.969112,-34.916267
16,255,07440057000231,INOV TEC COMERCIO E SERVICOS ELETRONICOS LTDA ME,INOV TEC,124931,Rua Oscar Jucá Rêgo Lima,,15       ,400,PASSARINHO,BAIXADO,2014-07-07T00:00:00,2017-07-01T00:00:00,26,OUTRAS ATIVIDADES VAREJISTAS,4757100,"COM VAREJ ESP DE PEÇAS E ACES P/ APAR ELETROELET P/ USO DOMÉST, EXC INF E COMUNIC",N,N,N,N,-7.969112,-34.916267
17,1318,679d463adf3476fb27c6575b1ca8c9645fdc55e8cc083c8e,AURENILSON SANTANA DE OLIVEIRA,,54534,Avenida Sebastião Salazar,615,         ,353,CAJUEIRO,BAIXADO,2000-02-01T00:00:00,2008-01-01T00:00:00,26,OUTRAS ATIVIDADES VAREJISTAS,4712100,"COM VAR DE MERC EM GERAL, COM PREDOM DE PROD ALIM - MINIMERC, MERC E ARMAZÉNS",S,S,N,N,-8.011336,-34.883479
18,1374,ce84159011b11fb16cd8f9d64bc74dd35fdc55e8cc083c8e,EDUARDO BERNARDO DE MOURA,TREVO LAVA JATO,56952,Rua da Regeneração,86,0000     ,337,AGUA FRIA,BAIXADO,1999-11-01T00:00:00,2001-07-01T00:00:00,14,CONSERVAÇÃO E LIMPEZA,4520005,"SERVIÇOS DE LAVAGEM, LUBRIFICAÇÃO E POLIMENTO DE VEÍCULOS AUTOMOTORES",S,S,S,S,-8.019177,-34.892652
19,1402,7a1016030429115964945fd0870dffa55fdc55e8cc083c8e,MARIA DAS GRACAS LUNA OLIVEIRA,,62251,Rua União dos Palmares,14,         ,280,CAMPO GRANDE,BAIXADO,1975-01-01T00:00:00,1993-01-31T00:00:00,26,OUTRAS ATIVIDADES VAREJISTAS,5611203,"LANCHONETES, CASAS DE CHÁ, DE SUCOS E SIMILARES",S,S,N,N,-8.025741,-34.876355
20,1403,ef7c28980bb415a2,MARIA DAS GRACAS LUNA OLIVEIRA,,62251,Rua União dos Palmares,14,         ,280,CAMPO GRANDE,BAIXADO,1975-01-01T00:00:00,1993-01-31T00:00:00,26,OUTRAS ATIVIDADES VAREJISTAS,5611203,"LANCHONETES, CASAS DE CHÁ, DE SUCOS E SIMILARES",S,S,N,N,-8.025741,-34.876355
21,1406,6dfb8956633cf19b64945fd0870dffa55fdc55e8cc083c8e,SATURNINO ROCHA DO NASCIMENTO,SATURNINO ROCHA DO NASCIMENTO,43486,Rua Massaranduba,182,         ,493,ALTO DO MANDU,BAIXADO,1980-01-01T00:00:00,1993-01-31T00:00:00,26,OUTRAS ATIVIDADES VAREJISTAS,4712100,"COM VAR DE MERC EM GERAL, COM PREDOM DE PROD ALIM - MINIMERC, MERC E ARMAZÉNS",S,S,N,N,-8.020253,-34.929106
22,1418,4ebbe404e21abae8aaf92ff904c972355fdc55e8cc083c8e,MARIA JOSE DE SOUSA PESSOA,CARTORIO DE REGISTRO CIVIL DO 15 DISTRITO JUDICIARIO,10529,Avenida Beberibe,1345,         ,329,ARRUDA,BAIXADO,1972-08-01T00:00:00,2016-01-01T00:00:00,20,"SERVICOS PUBLICOS, COMUNITARIOS E SOCIAIS",6912500,CARTÓRIOS,S,N,S,N,-8.025424,-34.893712
23,1421,a2fc093ace87c39363b2d2641defd70f5fdc55e8cc083c8e,PAULO JOSE MOURA CRUZ,NEUZA MOURA DA CRUZ,65730,Rua Zeferino Agra,546,         ,329,ARRUDA,BAIXADO,1981-01-01T00:00:00,1992-11-30T00:00:00,26,OUTRAS ATIVIDADES VAREJISTAS,5611203,"LANCHONETES, CASAS DE CHÁ, DE SUCOS E SIMILARES",S,S,N,N,-8.022517,-34.889783
24,1423,eea47fe1d2b1cb1163b2d2641defd70f5fdc55e8cc083c8e,JOSE LUIZ DE MENDONCA,JOSE LUIZ DE MENDONCA,18104,Rua Joana D`Arc,150,         ,434,CASA AMARELA,BAIXADO,1987-04-01T00:00:00,2007-07-01T00:00:00,26,OUTRAS ATIVIDADES VAREJISTAS,4712100,"COM VAR DE MERC EM GERAL, COM PREDOM DE PROD ALIM - MINIMERC, MERC E ARMAZÉNS",S,S,N,N,-8.025261,-34.921583
25,1424,27bdd4a9245c8ebc,MARIA DE LOURDES SIMPLICIO,MARIA DE LOURDES SIMPLICIO,15423,Rua Casa Amarela,127,         ,434,CASA AMARELA,BAIXADO,1988-06-01T00:00:00,2010-01-01T00:00:00,26,OUTRAS ATIVIDADES VAREJISTAS,4755502,COMERCIO VAREJISTA DE ARTIGOS DE ARMARINHO,S,N,N,N,-8.025797,-34.920073
26,1425,de768a380bb9a2ce75234379af146d63,MARIA DE LOURDES SIMPLICIO,MARIA DE LOURDES SIMPLICIO,15423,Rua Casa Amarela,127,         ,434,CASA AMARELA,BAIXADO,1988-06-01T00:00:00,2010-01-01T00:00:00,26,OUTRAS ATIVIDADES VAREJISTAS,4755502,COMERCIO VAREJISTA DE ARTIGOS DE ARMARINHO,S,N,N,N,-8.025797,-34.920073
27,1426,a765593fd0b031ad7ded9c546dc5f6f55fdc55e8cc083c8e,MARIA JOSE DE LIMA,,38482,Rua Padre Lemos,94,         ,434,CASA AMARELA,BAIXADO,1999-12-01T00:00:00,2001-01-01T00:00:00,26,OUTRAS ATIVIDADES VAREJISTAS,5611203,"LANCHONETES, CASAS DE CHÁ, DE SUCOS E SIMILARES",S,S,N,N,-8.025801,-34.917447
28,1428,8aca705689b8e11d84d461e46a2eeb4e5fdc55e8cc083c8e,SANDRA REGINA TEIXEIRA LARANJEIRA,,38482,Rua Padre Lemos,94,         ,434,CASA AMARELA,BAIXADO,2000-11-01T00:00:00,2008-07-01T00:00:00,26,OUTRAS ATIVIDADES VAREJISTAS,4761003,COMÉRCIO VAREJISTA DE ARTIGOS DE PAPELARIA,S,N,N,N,-8.025801,-34.917447
29,1429,4da9f4d2676e563b6cd8f9d64bc74dd35fdc55e8cc083c8e,AUGUSTO DINIZ ACIOLI LINS,,46027,Rua Major Nereu Guerra,131,0501     ,434,CASA AMARELA,BAIXADO,1998-10-01T00:00:00,1998-10-31T00:00:00,6,"JURIDICO, ECONOMICO E TECNICO ADMINISTRATIVO",8230001,"SERVIÇOS DE ORGANIZAÇÃO DE FEIRAS, CONGRESSOS, EXPOSIÇÕES E FESTAS",S,N,S,N,-8.026011,-34.914581
30,1430,a976e10e8348e98628f5ac1dcb34cf655fdc55e8cc083c8e,ADEILDO JOSE DE BARROS,ADEILDO JOSE DE BARROS,38482,Rua Padre Lemos,,00S/N    ,434,CASA AMARELA,BAIXADO,1980-09-01T00:00:00,2000-07-31T00:00:00,26,OUTRAS ATIVIDADES VAREJISTAS,4722901,COMÉRCIO VAREJISTA DE CARNES - AÇOUGUES,S,S,N,N,-8.026455,-34.918207
31,1431,b7b698532ce62c7775234379af146d63,MARIA MARLISE FERNANDES DE OLIVEIRA,MARIA MARLI DE OLIVEIRA,38482,Rua Padre Lemos,,00S/N    ,434,CASA AMARELA,BAIXADO,1980-01-01T00:00:00,2000-02-28T00:00:00,26,OUTRAS ATIVIDADES VAREJISTAS,4722901,COMÉRCIO VAREJISTA DE CARNES - AÇOUGUES,S,S,N,N,-8.026455,-34.918207
32,1432,77e65fea61f88c4964945fd0870dffa55fdc55e8cc083c8e,MANOEL ALVES DO AMARAL SOBRINHO,MANOEL ALVES DO AMARAL SOBRINHO,38482,Rua Padre Lemos,,00S/N    ,434,CASA AMARELA,BAIXADO,1980-01-01T00:00:00,1997-07-31T00:00:00,26,OUTRAS ATIVIDADES VAREJISTAS,4722901,COMÉRCIO VAREJISTA DE CARNES - AÇOUGUES,S,S,N,N,-8.026455,-34.918207
33,1433,61a647312e79e76ce6c87e85f210d1d05fdc55e8cc083c8e,NATANAEL LOPES DA SILVA,NATANAEL LOPES DA SILVA,38482,Rua Padre Lemos,,00S/N    ,434,CASA AMARELA,BAIXADO,1979-01-01T00:00:00,1997-09-30T00:00:00,26,OUTRAS ATIVIDADES VAREJISTAS,4722901,COMÉRCIO VAREJISTA DE CARNES - AÇOUGUES,S,S,N,N,-8.026455,-34.918207
34,1435,8544ead7b896be03aaf92ff904c972355fdc55e8cc083c8e,TEREZA ROSA DE SOUZA,,38482,Rua Padre Lemos,,00S/N    ,434,CASA AMARELA,BAIXADO,1980-07-01T00:00:00,1998-03-31T00:00:00,26,OUTRAS ATIVIDADES VAREJISTAS,4771703,COMÉRCIO VAREJISTA DE PRODUTOS FARMACÊUTICOS HOMEOPÁTICOS,S,S,N,N,-8.026455,-34.918207
35,1437,d7d7f01a5459793d0246e2b93c1bf25c,CARLOS ALBERTO MARTINS,,38482,Rua Padre Lemos,,00S/N    ,434,CASA AMARELA,BAIXADO,1996-08-01T00:00:00,2001-11-30T00:00:00,26,OUTRAS ATIVIDADES VAREJISTAS,4721103,COMÉRCIO VAREJISTA DE LATICÍNIOS E FRIOS,S,S,N,N,-8.026455,-34.918207
36,1438,a311455066a4e3dc7ded9c546dc5f6f55fdc55e8cc083c8e,JOSE MIRANDA SOBRINHO,,38482,Rua Padre Lemos,,00S/N    ,434,CASA AMARELA,BAIXADO,1996-10-01T00:00:00,2000-01-31T00:00:00,26,OUTRAS ATIVIDADES VAREJISTAS,5611203,"LANCHONETES, CASAS DE CHÁ, DE SUCOS E SIMILARES",S,S,N,N,-8.026455,-34.918207
37,1439,fdd32209285cd8b4cd124eb8021f7dca,FRANCISCO DE SOUZA LUCENA,,38482,Rua Padre Lemos,,00S/N    ,434,CASA AMARELA,BAIXADO,1996-11-01T00:00:00,1998-01-01T00:00:00,26,OUTRAS ATIVIDADES VAREJISTAS,4722901,COMÉRCIO VAREJISTA DE CARNES - AÇOUGUES,S,S,N,N,-8.026455,-34.918207
38,1442,769621005bd6c603aaf92ff904c972355fdc55e8cc083c8e,MARCOS ANTONIO TEODORO DE LIMA,,38482,Rua Padre Lemos,,00S/N    ,434,CASA AMARELA,BAIXADO,1998-02-01T00:00:00,2012-01-01T00:00:00,26,OUTRAS ATIVIDADES VAREJISTAS,4755502,COMERCIO VAREJISTA DE ARTIGOS DE ARMARINHO,S,N,N,N,-8.026455,-34.918207
39,1445,742125cdc4b83bad27c6575b1ca8c9645fdc55e8cc083c8e,NILTON CESAR MARINHO DA SILVA,,38482,Rua Padre Lemos,,00S/N    ,434,CASA AMARELA,BAIXADO,2000-01-01T00:00:00,2013-01-01T00:00:00,26,OUTRAS ATIVIDADES VAREJISTAS,5611203,"LANCHONETES, CASAS DE CHÁ, DE SUCOS E SIMILARES",S,S,N,N,-8.026455,-34.918207
40,1446,9c259c0cb8fa927927c6575b1ca8c9645fdc55e8cc083c8e,IVANISE LOPES DE SOUZA,,38482,Rua Padre Lemos,,00S/N    ,434,CASA AMARELA,BAIXADO,1999-11-01T00:00:00,2000-08-31T00:00:00,26,OUTRAS ATIVIDADES VAREJISTAS,4781400,COMÉRCIO VAREJISTA DE ARTIGOS DO VESTUÁRIO E ACESSÓRIOS,S,N,N,N,-8.026455,-34.918207
41,1447,5a10e0c736cde5a0e6c87e85f210d1d05fdc55e8cc083c8e,EDVALDO CAMPOS MONTEIRO,,8222,Estrada do Arraial,,00S/N    ,434,CASA AMARELA,BAIXADO,1991-07-01T00:00:00,1997-07-31T00:00:00,26,OUTRAS ATIVIDADES VAREJISTAS,4755502,COMERCIO VAREJISTA DE ARTIGOS DE ARMARINHO,S,N,N,N,-8.026972,-34.918485
42,1448,0d1a917465643a4a28f5ac1dcb34cf655fdc55e8cc083c8e,SEVERINA LIMA DE MENDONCA,SEVERINA LIMA DE MENDONCA,8222,Estrada do Arraial,,00S/N    ,434,CASA AMARELA,BAIXADO,1983-01-01T00:00:00,1997-07-31T00:00:00,26,OUTRAS ATIVIDADES VAREJISTAS,5611203,"LANCHONETES, CASAS DE CHÁ, DE SUCOS E SIMILARES",S,S,N,N,-8.026972,-34.918485
43,1450,0a56b51b6ebac8c3aaf92ff904c972355fdc55e8cc083c8e,REJANE MARIA GONCALVES,REJANE MARIA GONCALVES,8222,Estrada do Arraial,,00S/N    ,434,CASA AMARELA,BAIXADO,1989-09-01T00:00:00,2015-09-23T00:00:00,26,OUTRAS ATIVIDADES VAREJISTAS,4712100,"COM VAR DE MERC EM GERAL, COM PREDOM DE PROD ALIM - MINIMERC, MERC E ARMAZÉNS",S,S,N,N,-8.026972,-34.918485
44,1452,3172df0c99a0c87327c6575b1ca8c9645fdc55e8cc083c8e,MIRIAN BEZERRA DE SOUZA,MIRIAM BEZERRA DE SOUZA,8222,Estrada do Arraial,,00S/N    ,434,CASA AMARELA,BAIXADO,1990-06-01T00:00:00,2007-12-27T00:00:00,26,OUTRAS ATIVIDADES VAREJISTAS,4712100,"COM VAR DE MERC EM GERAL, COM PREDOM DE PROD ALIM - MINIMERC, MERC E ARMAZÉNS",S,S,N,N,-8.026972,-34.918485
45,1454,7bfdd76ee68496a664c8928445d44fe85fdc55e8cc083c8e,CINARA DANTAS GOMES SIQUEIRA,,8222,Estrada do Arraial,,00S/N    ,434,CASA AMARELA,BAIXADO,1996-08-01T00:00:00,1996-08-31T00:00:00,26,OUTRAS ATIVIDADES VAREJISTAS,4722901,COMÉRCIO VAREJISTA DE CARNES - AÇOUGUES,S,S,N,N,-8.026972,-34.918485
46,1455,a795630d01e44cbc63b2d2641defd70f5fdc55e8cc083c8e,MARINALDO DANIEL DA SILVA,,8222,Estrada do Arraial,,00S/N    ,434,CASA AMARELA,BAIXADO,1997-08-01T00:00:00,2001-01-01T00:00:00,26,OUTRAS ATIVIDADES VAREJISTAS,5611203,"LANCHONETES, CASAS DE CHÁ, DE SUCOS E SIMILARES",S,S,N,N,-8.026972,-34.918485
47,1456,2d995fd89e3f41c27ded9c546dc5f6f55fdc55e8cc083c8e,LEDIVAM LEONIDAS DA CRUZ,,8222,Estrada do Arraial,,00S/N    ,434,CASA AMARELA,BAIXADO,1999-09-01T00:00:00,2002-03-31T00:00:00,26,OUTRAS ATIVIDADES VAREJISTAS,4729601,TABACARIA,S,N,N,N,-8.026972,-34.918485
48,1457,861a477e3db51886,LEDIVAM LEONIDAS DA CRUZ,,8222,Estrada do Arraial,,00S/N    ,434,CASA AMARELA,BAIXADO,1999-09-01T00:00:00,2002-03-31T00:00:00,26,OUTRAS ATIVIDADES VAREJISTAS,4729601,TABACARIA,S,N,N,N,-8.026972,-34.918485
49,1459,a96368831d9aa87ec723701e5049195e5fdc55e8cc083c8e,ROSA MARIA DO NASCIMENTO,,8222,Estrada do Arraial,,00S/N    ,434,CASA AMARELA,BAIXADO,2000-12-01T00:00:00,2009-01-01T00:00:00,26,OUTRAS ATIVIDADES VAREJISTAS,4712100,"COM VAR DE MERC EM GERAL, COM PREDOM DE PROD ALIM - MINIMERC, MERC E ARMAZÉNS",S,S,N,N,-8.026972,-34.918485
50,1460,1498b0b98a21c36f,MARCIA BEZERRA DE SOUZA,,8222,Estrada do Arraial,,00S/N    ,434,CASA AMARELA,BAIXADO,2000-11-01T00:00:00,2002-06-01T00:00:00,26,OUTRAS ATIVIDADES VAREJISTAS,5611203,"LANCHONETES, CASAS DE CHÁ, DE SUCOS E SIMILARES",S,S,N,N,-8.026972,-34.918485
51,1461,80e5d40871320f2fe6c87e85f210d1d05fdc55e8cc083c8e,MARCIA BEZERRA DE SOUZA,,8222,Estrada do Arraial,,00S/N    ,434,CASA AMARELA,BAIXADO,2000-11-01T00:00:00,2002-06-01T00:00:00,26,OUTRAS ATIVIDADES VAREJISTAS,5611203,"LANCHONETES, CASAS DE CHÁ, DE SUCOS E SIMILARES",S,S,N,N,-8.026972,-34.918485
52,1462,6a39bf52e1962de464945fd0870dffa55fdc55e8cc083c8e,ALEXANDRE NOGUEIRA DA SILVA,,45586,Rua Conselheiro Nabuco,289,         ,434,CASA AMARELA,BAIXADO,1991-10-01T00:00:00,1993-03-31T00:00:00,26,OUTRAS ATIVIDADES VAREJISTAS,4761002,COMÉRCIO VAREJISTA DE JORNAIS E REVISTAS,S,N,N,N,-8.029993,-34.916547
53,1465,459182cabe3eaab67ded9c546dc5f6f55fdc55e8cc083c8e,VALDECY JOSE GUSMAO DA SILVA JUNIOR,3º OFICIO DE REGISTROS DE IMOVEIS DA COMARCA DO RECIFE,35580,Rua José Carvalheira,97,         ,191,TAMARINEIRA,BAIXADO,2008-08-22T00:00:00,2021-01-07T00:00:00,20,"SERVICOS PUBLICOS, COMUNITARIOS E SOCIAIS",6912500,CARTÓRIOS,S,N,N,N,-8.031151,-34.904282
54,1466,459182cabe3eaab67ded9c546dc5f6f55fdc55e8cc083c8e,VALDECY JOSE GUSMAO DA SILVA JUNIOR,3º OFICIO DE REGISTROS DE IMOVEIS DA COMARCA DO RECIFE,35580,Rua José Carvalheira,97,         ,191,TAMARINEIRA,BAIXADO,2008-08-22T00:00:00,2021-01-07T00:00:00,3,TECNICO-CIENTIFICO,7490199,"OUTRAS ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS N/ ESPECIFICAD ANTERIORMENTE",N,N,S,N,-8.031151,-34.904282
55,1467,30cb28d869aa499a27c6575b1ca8c9645fdc55e8cc083c8e,JOSE FERREIRA DA SILVA FILHO,,18740,Rua Curaça,,         ,191,TAMARINEIRA,BAIXADO,1994-08-01T00:00:00,1994-08-31T00:00:00,26,OUTRAS ATIVIDADES VAREJISTAS,4729601,TABACARIA,S,N,N,N,-8.030287,-34.902044
56,1650,03628482000206,R R AGRICOLA LTDA ME,PLANETA ANIMAL,10529,Avenida Beberibe,,4671     ,370,BEBERIBE,BAIXADO,2001-02-07T00:00:00,2009-07-01T00:00:00,27,COMERCIO ATACADISTA,4623109,COMÉRCIO ATACADISTA DE ALIMENTOS PARA ANIMAIS,N,S,N,N,-8.003354,-34.897947
57,1651,03628482000206,R R AGRICOLA LTDA ME,PLANETA ANIMAL,10529,Avenida Beberibe,,4671     ,370,BEBERIBE,BAIXADO,2001-02-07T00:00:00,2009-07-01T00:00:00,27,COMERCIO ATACADISTA,4661300,"COMÉRCIO ATACADISTA DE MÁQUINAS, APAR E EQUIP P/ USO AGROPEC/ PARTES E PEÇAS",S,N,N,N,-8.003354,-34.897947
58,1662,11229697000193,PADARIA E PASTELARIA BEBERIBE LITDA,,10529,Avenida Beberibe,,4645     ,370,BEBERIBE,BAIXADO,1979-11-01T00:00:00,2005-01-01T00:00:00,28,INDUSTRIA GERAL,1091102,Fabricacao de produtos de padaria e confeitaria com predominancia de producao propria,S,S,N,S,-8.003459,-34.897782
59,1668,10782020000115,MAYANA SIQUEIRA SOARES DE OLIVEIRA,ESPACO FASHION,10529,Avenida Beberibe,,4629     ,370,BEBERIBE,BAIXADO,2009-04-23T00:00:00,2011-01-01T00:00:00,26,OUTRAS ATIVIDADES VAREJISTAS,4781400,COMÉRCIO VAREJISTA DE ARTIGOS DO VESTUÁRIO E ACESSÓRIOS,N,N,N,N,-8.003553,-34.897732
60,1669,10782020000115,MAYANA SIQUEIRA SOARES DE OLIVEIRA,ESPACO FASHION,10529,Avenida Beberibe,,4629     ,370,BEBERIBE,BAIXADO,2009-04-23T00:00:00,2011-01-01T00:00:00,26,OUTRAS ATIVIDADES VAREJISTAS,4782202,COMÉRCIO VAREJISTA DE ARTIGOS DE VIAGEM,N,N,N,N,-8.003553,-34.897732
61,1670,10782020000115,MAYANA SIQUEIRA SOARES DE OLIVEIRA,ESPACO FASHION,10529,Avenida Beberibe,,4629     ,370,BEBERIBE,BAIXADO,2009-04-23T00:00:00,2011-01-01T00:00:00,26,OUTRAS ATIVIDADES VAREJISTAS,4782201,COMÉRCIO VAREJISTA DE CALÇADOS,S,N,N,N,-8.003553,-34.897732
62,1691,11197969000110,SELETA COMERCIO E REPRESENTACAO LTDA,,10529,Avenida Beberibe,,4609     ,370,BEBERIBE,BAIXADO,1986-02-01T00:00:00,2001-07-01T00:00:00,10,"REPRESENTACAO, AGENCIAMENTO, CORRETAGEM",4619200,REPRESENTANTES COMERCIAIS E AGENTES DO COM DE MERCAD EM GERAL N/ ESPECIALIZADO,N,N,S,N,-8.003657,-34.897633
63,1692,11197969000110,SELETA COMERCIO E REPRESENTACAO LTDA,,10529,Avenida Beberibe,,4609     ,370,BEBERIBE,BAIXADO,1986-02-01T00:00:00,2001-07-01T00:00:00,26,OUTRAS ATIVIDADES VAREJISTAS,4721104,"COMÉRCIO VAREJISTA DE DOCES, BALAS, BOMBONS E SEMELHANTES",S,S,N,N,-8.003657,-34.897633
64,1693,11197969000110,SELETA COMERCIO E REPRESENTACAO LTDA,,10529,Avenida Beberibe,,4609     ,370,BEBERIBE,BAIXADO,1986-02-01T00:00:00,2001-07-01T00:00:00,26,OUTRAS ATIVIDADES VAREJISTAS,4782202,COMÉRCIO VAREJISTA DE ARTIGOS DE VIAGEM,N,N,N,N,-8.003657,-34.897633
